system:index,AOT,B1,B11,B12,B2,B3,B4,B5,B6,B7,B8,B8A,B9,EVI,GCI,GLI,GNDVI,LAI,MSAVI,MSK_CLASSI_CIRRUS,MSK_CLASSI_OPAQUE,MSK_CLASSI_SNOW_ICE,MSK_CLDPRB,MSK_SNWPRB,NDVI,OSAVI,RECI,SAVI,SCL,SIPI,TCI_B,TCI_G,TCI_R,VARI,VIGREEN,WVP,X,Y,data,date_edit,hora,indice,peso_kg,prec,.geo
20240303T134659_20240303T135634_T21KYT_00000000000000000005,{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},-54 35 27.744,-20 22 53.274,20240313,2024-03-03 13:58,102003,17,0.39,1.3,"{""type"":""LineString"",""coordinates"":[[-54.59103870399652,-20.38146705106823],[-54.59103877362999,-20.38146256957195]]}"
20240303T134659_20240303T135634_T21KYT_00000000000000000004,{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},-54 35 30.468,-20 22 52.110,20240313,2024-03-03 13:58,100542,16,0.28,1.5,"{""type"":""LineString"",""coordinates"":[[-54.5917948444346,-20.381141311416897],[-54.591799597081526,-20.38114137705584]]}"
20240303T134659_20240303T135634_T21KYT_00000000000000000006,{77=1.0},{1274=1.0},{3454=1.0},{2519=1.0},{1400=1.0},{1747=1.0},{1634=1.0},{2333=1.0},{3293=1.0},{3662=1.0},{3634=1.0},{3883=1.0},{3751=1.0},{1.701258931609391=1.0},{1.0801373783629078=1.0},{0.0704656862745098=1.0},{0.3506783125813046=1.0},{6.037154814562776=1.0},{0.5503236836093492=1.0},{0=1.0},{0=1.0},{0=1.0},{0=1.0},{0=1.0},{0.37965072133637057=1.0},{0.37963919091295634=1.0},{1.2239902080783356=1.0},{0.5694220366328177=1.0},{4=1.0},{1.117=1.0},{42=1.0},{76=1.0},{65=1.0},{0.057041898031297326=1.0},{0.0334220644779651=1.0},{3635=1.0},-54 35 26.736,-20 22 53.058,20240313,2024-03-03 13:58,102827,18,0.415,1.5,"{""type"":""Point"",""coordinates"":[-54.59075920276726,-20.381404917427663]}"
20240303T134659_20240303T135634_T21KYT_00000000000000000001,{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},-54 35 33.300,-20 22 56.418,20240313,2024-03-03 13:58,93056,13,0.275,1.6,"{""type"":""LineString"",""coordinates"":[[-54.59258435343797,-20.382340066018134],[-54.59258442303003,-20.382335584517193]]}"
20240303T134659_20240303T135634_T21KYT_00000000000000000002,{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},-54 35 30.576,-20 22 55.668,20240313,2024-03-03 13:58,94152,14,0.3,1.7,"{""type"":""LineString"",""coordinates"":[[-54.59182705646186,-20.38212789754166],[-54.591826986848695,-20.382132379040204]]}"
20240303T134659_20240303T135634_T21KYT_00000000000000000000,{77=1.0},{1291=1.0},{3245=1.0},{2325=1.0},{1385=1.0},{1712=1.0},{1576=1.0},{2296=1.0},{3425=1.0},{3842=1.0},{3732=1.0},{4038=1.0},{3961=1.0},{1.9239693021595574=1.0},{1.1799065420560746=1.0},{0.07251370399373532=1.0},{0.3710506980161646=1.0},{6.842920935213278=1.0},{0.5776736378875285=1.0},{0=1.0},{0=1.0},{0=1.0},{0=1.0},{0=1.0},{0.40617935192162774=1.0},{0.4061671087533157=1.0},{1.3680203045685277=1.0},{0.6092116417066968=1.0},{4=1.0},{1.0885899814471243=1.0},{41=1.0},{73=1.0},{59=1.0},{0.07146610614818708=1.0},{0.0413625304136253=1.0},{3655=1.0},-54 35 35.676,-20 22 54.732,20240313,2024-03-03 13:58,91803,12,0.43,1.9,"{""type"":""Point"",""coordinates"":[-54.5932429158871,-20.381869534062673]}"
20240303T134659_20240303T135634_T21KYT_00000000000000000003,{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},-54 35 31.392,-20 22 54.414,20240313,2024-03-03 13:58,95613,15,0.42,1.9,"{""type"":""LineString"",""coordinates"":[[-54.592051108913246,-20.38178135994795],[-54.592055861580675,-20.381781425581877]]}"
20240308T134701_20240308T134704_T21KYT_00000000000000000005,{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},-54 35 27.744,-20 22 53.274,20240313,2024-03-08 13:58,102003,17,0.39,1.3,"{""type"":""LineString"",""coordinates"":[[-54.59103870399652,-20.38146705106823],[-54.59103877362999,-20.38146256957195]]}"
20240308T134701_20240308T134704_T21KYT_00000000000000000004,{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},-54 35 30.468,-20 22 52.110,20240313,2024-03-08 13:58,100542,16,0.28,1.5,"{""type"":""LineString"",""coordinates"":[[-54.5917948444346,-20.381141311416897],[-54.591799597081526,-20.38114137705584]]}"
20240308T134701_20240308T134704_T21KYT_00000000000000000006,{114=1.0},{1299=1.0},{3584=1.0},{2570=1.0},{1385=1.0},{1753=1.0},{1658=1.0},{2416=1.0},{3437=1.0},{3733=1.0},{3610=1.0},{4024=1.0},{3900=1.0},{1.5387040832413685=1.0},{1.0593268682258983=1.0},{0.07069781646052832=1.0},{0.3462614208465411=1.0},{5.449031373167271=1.0},{0.5406858248388744=1.0},{0=1.0},{0=1.0},{0=1.0},{0=1.0},{0=1.0},{0.3705391040242976=1.0},{0.3705278503310454=1.0},{1.1773220747889024=1.0},{0.55575590775363=1.0},{4=1.0},{1.1398565573770492=1.0},{41=1.0},{77=1.0},{67=1.0},{0.046890424481737414=1.0},{0.027851070067428905=1.0},{4069=1.0},-54 35 26.736,-20 22 53.058,20240313,2024-03-08 13:58,102827,18,0.415,1.5,"{""type"":""Point"",""coordinates"":[-54.59075920276726,-20.381404917427663]}"
20240308T134701_20240308T134704_T21KYT_00000000000000000001,{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},-54 35 33.300,-20 22 56.418,20240313,2024-03-08 13:58,93056,13,0.275,1.6,"{""type"":""LineString"",""coordinates"":[[-54.59258435343797,-20.382340066018134],[-54.59258442303003,-20.382335584517193]]}"
20240308T134701_20240308T134704_T21KYT_00000000000000000002,{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},-54 35 30.576,-20 22 55.668,20240313,2024-03-08 13:58,94152,14,0.3,1.7,"{""type"":""LineString"",""coordinates"":[[-54.59182705646186,-20.38212789754166],[-54.591826986848695,-20.382132379040204]]}"
