system:index,AOT,B1,B11,B12,B2,B3,B4,B5,B6,B7,B8,B8A,B9,EVI,GCI,GLI,GNDVI,LAI,MSAVI,MSK_CLASSI_CIRRUS,MSK_CLASSI_OPAQUE,MSK_CLASSI_SNOW_ICE,MSK_CLDPRB,MSK_SNWPRB,NDVI,OSAVI,RECI,SAVI,SCL,SIPI,TCI_B,TCI_G,TCI_R,VARI,VIGREEN,WVP,X,Y,data,date_edit,hora,indice,peso_kg,prec,.geo
20240303T134659_20240303T135634_T21KYT_00000000000000000005,{77=0.023529411764705882},{1268=0.023529411764705882},{3365=0.023529411764705882},{2510=0.023529411764705882},{1386=0.023529411764705882},{1689=0.023529411764705882},{1632=0.023529411764705882},{2253=0.023529411764705882},{3241=0.023529411764705882},{3569=0.023529411764705882},{3522=0.023529411764705882},{3799=0.023529411764705882},{3803=0.023529411764705882},{1.6181506849315068=0.023529411764705882},{1.0852575488454708=0.023529411764705882},{0.05628517823639775=0.023529411764705882},{0.3517559009786989=0.023529411764705882},{5.736469178082191=0.023529411764705882},{0.536591615409634=0.023529411764705882},{0=0.023529411764705882},{0=0.023529411764705882},{0=0.023529411764705882},{0=0.023529411764705882},{0=0.023529411764705882},{0.36670547147846333=0.023529411764705882},{0.36669408788240954=0.023529411764705882},{1.1580882352941178=0.023529411764705882},{0.5500048501309536=0.023529411764705882},{4=0.023529411764705882},{1.1301587301587301=0.023529411764705882},{42=0.023529411764705882},{70=0.023529411764705882},{65=0.023529411764705882},{0.02945736434108527=0.023529411764705882},{0.017163504968383016=0.023529411764705882},{3612=0.023529411764705882},-54 35 27.744,-20 22 53.274,20240313,2024-03-03 13:58,102003,17,0.39,1.3,"{""type"":""Polygon"",""coordinates"":[[[-54.591048104057776,-20.38147616165941],[-54.59102903144165,-20.38147589056077],[-54.591029366048915,-20.38145793558278],[-54.591048355013285,-20.38145818726412],[-54.591048104057776,-20.38147616165941]]]}"
20240303T134659_20240303T135634_T21KYT_00000000000000000004,{77=0.047058823529411764},{1287=0.047058823529411764},"{3215=0.023529411764705882, 3125=0.023529411764705882}","{2304=0.023529411764705882, 2368=0.023529411764705882}","{1376=0.023529411764705882, 1365=0.023529411764705882}","{1634=0.023529411764705882, 1650=0.023529411764705882}","{1563=0.023529411764705882, 1574=0.023529411764705882}","{2191=0.023529411764705882, 2196=0.023529411764705882}","{3254=0.023529411764705882, 3194=0.023529411764705882}","{3621=0.023529411764705882, 3568=0.023529411764705882}","{3540=0.023529411764705882, 3562=0.023529411764705882}","{3794=0.023529411764705882, 3838=0.023529411764705882}",{3688=0.047058823529411764},"{1.8431847846354652=0.023529411764705882, 1.8496464458503907=0.023529411764705882}","{1.1664626682986534=0.023529411764705882, 1.1587878787878787=0.023529411764705882}","{0.05487411233053583=0.023529411764705882, 0.056=0.023529411764705882}","{0.3668457405986186=0.023529411764705882, 0.3683803633552377=0.023529411764705882}","{6.550642550811112=0.023529411764705882, 6.574020841086713=0.023529411764705882}","{0.5584397479101426=0.023529411764705882, 0.5580788002735062=0.023529411764705882}",{0=0.047058823529411764},{0=0.047058823529411764},{0=0.047058823529411764},{0=0.047058823529411764},{0=0.047058823529411764},"{0.38741916519694297=0.023529411764705882, 0.3870716510903427=0.023529411764705882}","{0.3870595931590916=0.023529411764705882, 0.3874070183964446=0.023529411764705882}","{1.2648752399232244=0.023529411764705882, 1.2630241423125792=0.023529411764705882}","{0.5810718134613501=0.023529411764705882, 0.580550958824102=0.023529411764705882}",{4=0.047058823529411764},"{1.1001517450682854=0.023529411764705882, 1.0995975855130784=0.023529411764705882}","{40=0.023529411764705882, 39=0.023529411764705882}","{67=0.023529411764705882, 65=0.023529411764705882}","{59=0.023529411764705882, 56=0.023529411764705882}","{0.04112554112554113=0.023529411764705882, 0.03875545851528384=0.023529411764705882}","{0.02357320099255583=0.023529411764705882, 0.022208320300281515=0.023529411764705882}","{3655=0.023529411764705882, 3660=0.023529411764705882}",-54 35 30.468,-20 22 52.110,20240313,2024-03-03 13:58,100542,16,0.28,1.5,"{""type"":""Polygon"",""coordinates"":[[[-54.591804236490596,-20.381150413670458],[-54.59178516369804,-20.381150142737336],[-54.5917854983084,-20.381132187651076],[-54.59180448744843,-20.381132517570755],[-54.591804236490596,-20.381150413670458]]]}"
20240303T134659_20240303T135634_T21KYT_00000000000000000006,{77=0.023529411764705882},{1274=0.023529411764705882},{3454=0.023529411764705882},{2519=0.023529411764705882},{1400=0.023529411764705882},{1747=0.023529411764705882},{1634=0.023529411764705882},{2333=0.023529411764705882},{3293=0.023529411764705882},{3662=0.023529411764705882},{3634=0.023529411764705882},{3883=0.023529411764705882},{3751=0.023529411764705882},{1.701258931609391=0.023529411764705882},{1.0801373783629078=0.023529411764705882},{0.0704656862745098=0.023529411764705882},{0.3506783125813046=0.023529411764705882},{6.037154814562776=0.023529411764705882},{0.5503236836093492=0.023529411764705882},{0=0.023529411764705882},{0=0.023529411764705882},{0=0.023529411764705882},{0=0.023529411764705882},{0=0.023529411764705882},{0.37965072133637057=0.023529411764705882},{0.37963919091295634=0.023529411764705882},{1.2239902080783356=0.023529411764705882},{0.5694220366328177=0.023529411764705882},{4=0.023529411764705882},{1.117=0.023529411764705882},{42=0.023529411764705882},{76=0.023529411764705882},{65=0.023529411764705882},{0.057041898031297326=0.023529411764705882},{0.0334220644779651=0.023529411764705882},{3635=0.023529411764705882},-54 35 26.736,-20 22 53.058,20240313,2024-03-03 13:58,102827,18,0.415,1.5,"{""type"":""Polygon"",""coordinates"":[[[-54.59076854010374,-20.381414023254774],[-54.590749551204375,-20.381413771540107],[-54.59074980215896,-20.381395797195385],[-54.59076887470994,-20.38139606832129],[-54.59076854010374,-20.381414023254774]]]}"
20240303T134659_20240303T135634_T21KYT_00000000000000000001,{77=0.047058823529411764},{1268=0.047058823529411764},{3153=0.047058823529411764},{2291=0.047058823529411764},{1378=0.047058823529411764},{1676=0.047058823529411764},{1595=0.047058823529411764},{2217=0.047058823529411764},{3203=0.047058823529411764},{3592=0.047058823529411764},{3544=0.047058823529411764},{3790=0.047058823529411764},{3765=0.047058823529411764},{1.7526978417266188=0.047058823529411764},{1.1145584725536994=0.047058823529411764},{0.05992094861660079=0.047058823529411764},{0.3578544061302682=0.047058823529411764},{6.223260791366906=0.047058823529411764},{0.5499086471322698=0.047058823529411764},{0=0.047058823529411764},{0=0.047058823529411764},{0=0.047058823529411764},{0=0.047058823529411764},{0=0.047058823529411764},{0.3792566647207628=0.047058823529411764},{0.37924485713618566=0.047058823529411764},{1.2219435736677116=0.047058823529411764},{0.5688296526899503=0.047058823529411764},{4=0.047058823529411764},{1.1113391482811699=0.047058823529411764},{40=0.047058823529411764},{69=0.047058823529411764},{59=0.047058823529411764},{0.042789223454833596=0.047058823529411764},{0.024763069397737696=0.047058823529411764},{3568=0.047058823529411764},-54 35 33.300,-20 22 56.418,20240313,2024-03-03 13:58,93056,13,0.275,1.6,"{""type"":""Polygon"",""coordinates"":[[[-54.59259375362449,-20.382349204135945],[-54.592574680647715,-20.38234885471162],[-54.59257501526131,-20.38233097785257],[-54.592594004584754,-20.382331229455644],[-54.59259375362449,-20.382349204135945]]]}"
20240303T134659_20240303T135634_T21KYT_00000000000000000002,{77=0.047058823529411764},{1269=0.047058823529411764},{3221=0.047058823529411764},{2367=0.047058823529411764},"{1378=0.03529411764705882, 1372=0.011764705882352941}","{1674=0.03529411764705882, 1696=0.011764705882352941}","{1598=0.03529411764705882, 1593=0.011764705882352941}",{2259=0.047058823529411764},{3266=0.047058823529411764},{3587=0.047058823529411764},"{3548=0.011764705882352941, 3520=0.03529411764705882}",{3827=0.047058823529411764},{3768=0.047058823529411764},"{1.7350017749378772=0.011764705882352941, 1.7321557317952416=0.03529411764705882}","{1.0919811320754715=0.011764705882352941, 1.1027479091995223=0.03529411764705882}","{0.0671700487651408=0.011764705882352941, 0.058823529411764705=0.03529411764705882}","{0.3531655225019069=0.011764705882352941, 0.35541008856372736=0.03529411764705882}","{6.1592364217252396=0.011764705882352941, 6.148939437635184=0.03529411764705882}","{0.550979791282316=0.011764705882352941, 0.5459875163141987=0.03529411764705882}",{0=0.047058823529411764},{0=0.047058823529411764},{0=0.047058823529411764},{0=0.047058823529411764},{0=0.047058823529411764},"{0.3802762108539195=0.011764705882352941, 0.375537319265338=0.03529411764705882}","{0.3802643761330128=0.011764705882352941, 0.37552557950513465=0.03529411764705882}","{1.2272441933458884=0.011764705882352941, 1.202753441802253=0.03529411764705882}","{0.5703588446951279=0.011764705882352941, 0.5632509524274689=0.03529411764705882}",{4=0.047058823529411764},"{1.1144640998959416=0.03529411764705882, 1.1130434782608696=0.011764705882352941}","{38=0.011764705882352941, 39=0.03529411764705882}","{69=0.03529411764705882, 71=0.011764705882352941}",{61=0.047058823529411764},"{0.05372978612415232=0.011764705882352941, 0.04012671594508976=0.03529411764705882}","{0.031316509577379144=0.011764705882352941, 0.023227383863080684=0.03529411764705882}",{3607=0.047058823529411764},-54 35 30.576,-20 22 55.668,20240313,2024-03-03 13:58,94152,14,0.3,1.7,"{""type"":""Polygon"",""coordinates"":[[[-54.59183644275131,-20.382136988992837],[-54.59181745360385,-20.382136737312102],[-54.59181770456171,-20.382118841168843],[-54.59183669370923,-20.382119092846533],[-54.59183644275131,-20.382136988992837]]]}"
20240303T134659_20240303T135634_T21KYT_00000000000000000000,{77=0.023529411764705882},{1291=0.023529411764705882},{3245=0.023529411764705882},{2325=0.023529411764705882},{1385=0.023529411764705882},{1712=0.023529411764705882},{1576=0.023529411764705882},{2296=0.023529411764705882},{3425=0.023529411764705882},{3842=0.023529411764705882},{3732=0.023529411764705882},{4038=0.023529411764705882},{3961=0.023529411764705882},{1.9239693021595574=0.023529411764705882},{1.1799065420560746=0.023529411764705882},{0.07251370399373532=0.023529411764705882},{0.3710506980161646=0.023529411764705882},{6.842920935213278=0.023529411764705882},{0.5776736378875285=0.023529411764705882},{0=0.023529411764705882},{0=0.023529411764705882},{0=0.023529411764705882},{0=0.023529411764705882},{0=0.023529411764705882},{0.40617935192162774=0.023529411764705882},{0.4061671087533157=0.023529411764705882},{1.3680203045685277=0.023529411764705882},{0.6092116417066968=0.023529411764705882},{4=0.023529411764705882},{1.0885899814471243=0.023529411764705882},{41=0.023529411764705882},{73=0.023529411764705882},{59=0.023529411764705882},{0.07146610614818708=0.023529411764705882},{0.0413625304136253=0.023529411764705882},{3655=0.023529411764705882},-54 35 35.676,-20 22 54.732,20240313,2024-03-03 13:58,91803,12,0.43,1.9,"{""type"":""Polygon"",""coordinates"":[[[-54.593252275973065,-20.3818786380513],[-54.593233286496705,-20.381878386620205],[-54.59323353745892,-20.381860411857097],[-54.59325252693534,-20.38186066328514],[-54.593252275973065,-20.3818786380513]]]}"
20240303T134659_20240303T135634_T21KYT_00000000000000000003,{77=0.047058823529411764},{1261=0.047058823529411764},{3146=0.047058823529411764},{2323=0.047058823529411764},"{1374=0.023529411764705882, 1393=0.023529411764705882}",{1672=0.047058823529411764},"{1617=0.023529411764705882, 1602=0.023529411764705882}",{2198=0.047058823529411764},{3217=0.047058823529411764},{3581=0.047058823529411764},"{3548=0.023529411764705882, 3494=0.023529411764705882}",{3782=0.047058823529411764},{3795=0.047058823529411764},"{1.706673940716494=0.023529411764705882, 1.7034313725490196=0.023529411764705882}","{1.1220095693779903=0.023529411764705882, 1.089712918660287=0.023529411764705882}","{0.05822784810126582=0.023529411764705882, 0.05256531318854265=0.023529411764705882}","{0.3526906697638405=0.023529411764705882, 0.3593869731800766=0.023529411764705882}","{6.056746317512275=0.023529411764705882, 6.045014705882352=0.023529411764705882}","{0.548443115379996=0.023529411764705882, 0.5371710620615886=0.023529411764705882}",{0=0.047058823529411764},{0=0.047058823529411764},{0=0.047058823529411764},{0=0.047058823529411764},{0=0.047058823529411764},"{0.3672471140676971=0.023529411764705882, 0.37786407766990293=0.023529411764705882}","{0.37785233856812217=0.023529411764705882, 0.36723561774626506=0.023529411764705882}","{1.2147315855181025=0.023529411764705882, 1.160791589363018=0.023529411764705882}","{0.5667410930977576=0.023529411764705882, 0.5508167856793506=0.023529411764705882}",{4=0.047058823529411764},"{1.1193393713372404=0.023529411764705882, 1.117163412127441=0.023529411764705882}","{38=0.023529411764705882, 39=0.023529411764705882}","{69=0.023529411764705882, 68=0.023529411764705882}","{63=0.023529411764705882, 62=0.023529411764705882}","{0.03684210526315789=0.023529411764705882, 0.0290084388185654=0.023529411764705882}","{0.016722408026755852=0.023529411764705882, 0.021380574221136223=0.023529411764705882}",{3575=0.047058823529411764},-54 35 31.392,-20 22 54.414,20240313,2024-03-03 13:58,95613,15,0.42,1.9,"{""type"":""Polygon"",""coordinates"":[[[-54.59206046483269,-20.38179045521549],[-54.592041475633195,-20.38179020362566],[-54.59204172659175,-20.38177222905762],[-54.592060715791305,-20.38177248064439],[-54.59206046483269,-20.38179045521549]]]}"
20240308T134701_20240308T134704_T21KYT_00000000000000000005,{114=0.023529411764705882},{1331=0.023529411764705882},{3517=0.023529411764705882},{2554=0.023529411764705882},{1358=0.023529411764705882},{1647=0.023529411764705882},{1648=0.023529411764705882},{2325=0.023529411764705882},{3376=0.023529411764705882},{3688=0.023529411764705882},{3540=0.023529411764705882},{3967=0.023529411764705882},{3949=0.023529411764705882},{1.4580764488286067=0.023529411764705882},{1.1493624772313296=0.023529411764705882},{0.045714285714285714=0.023529411764705882},{0.3649508386350492=0.023529411764705882},{5.1573205918618985=0.023529411764705882},{0.5344281335164851=0.023529411764705882},{0=0.023529411764705882},{0=0.023529411764705882},{0=0.023529411764705882},{0=0.023529411764705882},{0=0.023529411764705882},{0.3646877409406322=0.023529411764705882},{0.364676494171344=0.023529411764705882},{1.1480582524271843=0.023529411764705882},{0.5469788956345765=0.023529411764705882},{4=0.023529411764705882},{1.153276955602537=0.023529411764705882},{37=0.023529411764705882},{65=0.023529411764705882},{65=0.023529411764705882},{-5.162622612287042E-4=0.023529411764705882},{-3.0349013657056146E-4=0.023529411764705882},{3946=0.023529411764705882},-54 35 27.744,-20 22 53.274,20240313,2024-03-08 13:58,102003,17,0.39,1.3,"{""type"":""Polygon"",""coordinates"":[[[-54.591048104057776,-20.38147616165941],[-54.59102903144165,-20.38147589056077],[-54.591029366048915,-20.38145793558278],[-54.591048355013285,-20.38145818726412],[-54.591048104057776,-20.38147616165941]]]}"
20240308T134701_20240308T134704_T21KYT_00000000000000000004,{114=0.047058823529411764},{1405=0.047058823529411764},"{3311=0.023529411764705882, 3413=0.023529411764705882}","{2505=0.023529411764705882, 2402=0.023529411764705882}","{1412=0.023529411764705882, 1410=0.023529411764705882}","{1698=0.023529411764705882, 1714=0.023529411764705882}","{1615=0.023529411764705882, 1648=0.023529411764705882}","{2281=0.023529411764705882, 2289=0.023529411764705882}","{3354=0.023529411764705882, 3434=0.023529411764705882}","{3760=0.023529411764705882, 3689=0.023529411764705882}",{3666=0.047058823529411764},"{4062=0.023529411764705882, 4002=0.023529411764705882}",{3913=0.047058823529411764},"{1.7015177065767284=0.023529411764705882, 1.843098490294752=0.023529411764705882}","{1.1590106007067136=0.023529411764705882, 1.1388564760793467=0.023529411764705882}","{0.05204460966542751=0.023529411764705882, 0.06245157291182396=0.023529411764705882}","{0.36282527881040894=0.023529411764705882, 0.3668903803131991=0.023529411764705882}","{6.038091062394603=0.023529411764705882, 6.550330337886412=0.023529411764705882}","{0.5504299704284676=0.023529411764705882, 0.5594317419709114=0.023529411764705882}",{0=0.047058823529411764},{0=0.047058823529411764},{0=0.047058823529411764},{0=0.047058823529411764},{0=0.047058823529411764},"{0.3883734141261125=0.023529411764705882, 0.3797515995483628=0.023529411764705882}","{0.38836164781979715=0.023529411764705882, 0.3797401658963976=0.023529411764705882}","{1.2699690402476782=0.023529411764705882, 1.224514563106796=0.023529411764705882}","{0.5825049701789264=0.023529411764705882, 0.5695738075077618=0.023529411764705882}",{4=0.047058823529411764},"{1.0999512432959533=0.023529411764705882, 1.1169474727452924=0.023529411764705882}","{42=0.023529411764705882, 41=0.023529411764705882}","{71=0.023529411764705882, 73=0.023529411764705882}","{63=0.023529411764705882, 65=0.023529411764705882}","{0.05158936946326212=0.023529411764705882, 0.025853154084798345=0.023529411764705882}","{0.029738660258335835=0.023529411764705882, 0.014943215780035863=0.023529411764705882}","{3751=0.023529411764705882, 3822=0.023529411764705882}",-54 35 30.468,-20 22 52.110,20240313,2024-03-08 13:58,100542,16,0.28,1.5,"{""type"":""Polygon"",""coordinates"":[[[-54.591804236490596,-20.381150413670458],[-54.59178516369804,-20.381150142737336],[-54.5917854983084,-20.381132187651076],[-54.59180448744843,-20.381132517570755],[-54.591804236490596,-20.381150413670458]]]}"
20240308T134701_20240308T134704_T21KYT_00000000000000000006,{114=0.023529411764705882},{1299=0.023529411764705882},{3584=0.023529411764705882},{2570=0.023529411764705882},{1385=0.023529411764705882},{1753=0.023529411764705882},{1658=0.023529411764705882},{2416=0.023529411764705882},{3437=0.023529411764705882},{3733=0.023529411764705882},{3610=0.023529411764705882},{4024=0.023529411764705882},{3900=0.023529411764705882},{1.5387040832413685=0.023529411764705882},{1.0593268682258983=0.023529411764705882},{0.07069781646052832=0.023529411764705882},{0.3462614208465411=0.023529411764705882},{5.449031373167271=0.023529411764705882},{0.5406858248388744=0.023529411764705882},{0=0.023529411764705882},{0=0.023529411764705882},{0=0.023529411764705882},{0=0.023529411764705882},{0=0.023529411764705882},{0.3705391040242976=0.023529411764705882},{0.3705278503310454=0.023529411764705882},{1.1773220747889024=0.023529411764705882},{0.55575590775363=0.023529411764705882},{4=0.023529411764705882},{1.1398565573770492=0.023529411764705882},{41=0.023529411764705882},{77=0.023529411764705882},{67=0.023529411764705882},{0.046890424481737414=0.023529411764705882},{0.027851070067428905=0.023529411764705882},{4069=0.023529411764705882},-54 35 26.736,-20 22 53.058,20240313,2024-03-08 13:58,102827,18,0.415,1.5,"{""type"":""Polygon"",""coordinates"":[[[-54.59076854010374,-20.381414023254774],[-54.590749551204375,-20.381413771540107],[-54.59074980215896,-20.381395797195385],[-54.59076887470994,-20.38139606832129],[-54.59076854010374,-20.381414023254774]]]}"
